合い　　　　　　　　　　　　　　　　　　あい　　　　　　　　　　　　　　　　　　,RB .     ,
愛　　　　　　　　　　　　　　　　　　　あい　　　　　　　　　　　　　　　　　　,NB1.     ,
和え　　　　　　　　　　　　　　　　　　あえ　　　　　　　　　　　　　　　　　　,NBB.     ,
上がり　　　　　　　　　　　　　　　　　あがり　　　　　　　　　　　　　　　　　,CB .     ,
商いする　　　　　　　　　　　　　　　　あきないする　　　　　　　　　　　　　　,DB4.  P  ,
明け　　　　　　　　　　　　　　　　　　あけ　　　　　　　　　　　　　　　　　　,NB8.     ,
揚げ　　　　　　　　　　　　　　　　　　あげ　　　　　　　　　　　　　　　　　　,NBB.     ,
挙げて　　　　　　　　　　　　　　　　　あげて　　　　　　　　　　　　　　　　　,FBY.     ,
上げる　　　　　　　　　　　　　　　　　あげる　　　　　　　　　　　　　　　　　,DB1.     ,
朝　　　　　　　　　　　　　　　　　　　あさ　　　　　　　　　　　　　　　　　　,NB8.     ,
鮮やか　　　　　　　　　　　　　　　　　あざやか　　　　　　　　　　　　　　　　,CB .  P  ,
あさりする　　　　　　　　　　　　　　　あさりする　　　　　　　　　　　　　　　,DB4.     ,
味　　　　　　　　　　　　　　　　　　　あじ　　　　　　　　　　　　　　　　　　,NBB.     ,
亜種　　　　　　　　　　　　　　　　　　あしゅ　　　　　　　　　　　　　　　　　,NBB.     ,
遊びする　　　　　　　　　　　　　　　　あそびする　　　　　　　　　　　　　　　,DB4.     ,
辺り　　　　　　　　　　　　　　　　　　あたり　　　　　　　　　　　　　　　　　,NB7.     ,
辺　　　　　　　　　　　　　　　　　　　あたり　　　　　　　　　　　　　　　　　,NB5.     ,
当り　　　　　　　　　　　　　　　　　　あたり　　　　　　　　　　　　　　　　　,FBY.     ,
当たり　　　　　　　　　　　　　　　　　あたり　　　　　　　　　　　　　　　　　,FBY.     ,
当たり　　　　　　　　　　　　　　　　　あたり　　　　　　　　　　　　　　　　　,RB .     ,
あたり　　　　　　　　　　　　　　　　　あたり　　　　　　　　　　　　　　　　　,NB7.     ,
厚　　　　　　　　　　　　　　　　　　　あつ　　　　　　　　　　　　　　　　　　,NBB.     ,
圧　　　　　　　　　　　　　　　　　　　あつ　　　　　　　　　　　　　　　　　　,NB1.     ,
扱いする　　　　　　　　　　　　　　　　あつかいする　　　　　　　　　　　　　　,DB4.     ,
あっての　　　　　　　　　　　　　　　　あっての　　　　　　　　　　　　　　　　,RB .     ,
集め　　　　　　　　　　　　　　　　　　あつめ　　　　　　　　　　　　　　　　　,NB1.     ,
当て　　　　　　　　　　　　　　　　　　あて　　　　　　　　　　　　　　　　　　,FBY.     ,
宛て　　　　　　　　　　　　　　　　　　あて　　　　　　　　　　　　　　　　　　,CB .     ,
宛て　　　　　　　　　　　　　　　　　　あて　　　　　　　　　　　　　　　　　　,RB .     ,
宛　　　　　　　　　　　　　　　　　　　あて　　　　　　　　　　　　　　　　　　,FBY.     ,
宛　　　　　　　　　　　　　　　　　　　あて　　　　　　　　　　　　　　　　　　,NB1.     ,
跡　　　　　　　　　　　　　　　　　　　あと　　　　　　　　　　　　　　　　　　,NB7.     ,
痕　　　　　　　　　　　　　　　　　　　あと　　　　　　　　　　　　　　　　　　,NBB.     ,
穴　　　　　　　　　　　　　　　　　　　あな　　　　　　　　　　　　　　　　　　,NBB.     ,
アナ　　　　　　　　　　　　　　　　　　あな　　　　　　　　　　　　　　　　　　,NB1.     ,
油　　　　　　　　　　　　　　　　　　　あぶら　　　　　　　　　　　　　　　　　,NBB.     ,
溢れる　　　　　　　　　　　　　　　　　あふれる　　　　　　　　　　　　　　　　,DB1.     ,
余り　　　　　　　　　　　　　　　　　　あまり　　　　　　　　　　　　　　　　　,FBY.     ,
余　　　　　　　　　　　　　　　　　　　あまり　　　　　　　　　　　　　　　　　,FBY.     ,
