亜　　　　　　　　　　　　　　　　　　　あ　　　　　　　　　　　　　　　　　　　, T .     ,
悪　　　　　　　　　　　　　　　　　　　あく　　　　　　　　　　　　　　　　　　, T .     ,
暗　　　　　　　　　　　　　　　　　　　あん　　　　　　　　　　　　　　　　　　, T .     ,
ｕｎ　　　　　　　　　　　　　　　　　　あん　　　　　　　　　　　　　　　　　　, T .     ,
アンチ　　　　　　　　　　　　　　　　　あんち　　　　　　　　　　　　　　　　　, T .     ,
異　　　　　　　　　　　　　　　　　　　い　　　　　　　　　　　　　　　　　　　, T .     ,
一大　　　　　　　　　　　　　　　　　　いちだい　　　　　　　　　　　　　　　　, T .     ,
薄　　　　　　　　　　　　　　　　　　　うす　　　　　　　　　　　　　　　　　　, T .     ,
裏　　　　　　　　　　　　　　　　　　　うら　　　　　　　　　　　　　　　　　　, T .     ,
エアロ　　　　　　　　　　　　　　　　　えあろ　　　　　　　　　　　　　　　　　, T .     ,
大　　　　　　　　　　　　　　　　　　　おお　　　　　　　　　　　　　　　　　　, T .     ,
表　　　　　　　　　　　　　　　　　　　おもて　　　　　　　　　　　　　　　　　, T .     ,
過　　　　　　　　　　　　　　　　　　　か　　　　　　　　　　　　　　　　　　　, T .     ,
可　　　　　　　　　　　　　　　　　　　か　　　　　　　　　　　　　　　　　　　, T .     ,
怪　　　　　　　　　　　　　　　　　　　かい　　　　　　　　　　　　　　　　　　, T .     ,
快　　　　　　　　　　　　　　　　　　　かい　　　　　　　　　　　　　　　　　　, T .     ,
各　　　　　　　　　　　　　　　　　　　かく　　　　　　　　　　　　　　　　　　, T .     ,
各副　　　　　　　　　　　　　　　　　　かくふく　　　　　　　　　　　　　　　　, T .     ,
片　　　　　　　　　　　　　　　　　　　かた　　　　　　　　　　　　　　　　　　, T .     ,
仮　　　　　　　　　　　　　　　　　　　かり　　　　　　　　　　　　　　　　　　, T .     ,
官　　　　　　　　　　　　　　　　　　　かん　　　　　　　　　　　　　　　　　　, T .     ,
偽　　　　　　　　　　　　　　　　　　　ぎ　　　　　　　　　　　　　　　　　　　, T .     ,
逆　　　　　　　　　　　　　　　　　　　ぎゃく　　　　　　　　　　　　　　　　　, T .     ,
旧　　　　　　　　　　　　　　　　　　　きゅう　　　　　　　　　　　　　　　　　, T .     ,
急　　　　　　　　　　　　　　　　　　　ぎゅう　　　　　　　　　　　　　　　　　, T .     ,サ変動詞。例外急ハンドル
区　　　　　　　　　　　　　　　　　　　く　　　　　　　　　　　　　　　　　　　, T .     ,
組　　　　　　　　　　　　　　　　　　　くみ　　　　　　　　　　　　　　　　　　, T .     ,
軽　　　　　　　　　　　　　　　　　　　けい　　　　　　　　　　　　　　　　　　, T .     ,
激　　　　　　　　　　　　　　　　　　　げき　　　　　　　　　　　　　　　　　　, T .     ,
現　　　　　　　　　　　　　　　　　　　げん　　　　　　　　　　　　　　　　　　, T .     ,
現副　　　　　　　　　　　　　　　　　　げんふく　　　　　　　　　　　　　　　　, T .     ,
誤　　　　　　　　　　　　　　　　　　　ご　　　　　　　　　　　　　　　　　　　, T .     ,
御　　　　　　　　　　　　　　　　　　　ご　　　　　　　　　　　　　　　　　　　, T .     ,
ザ　　　　　　　　　　　　　　　　　　　ざ　　　　　　　　　　　　　　　　　　　, T .     ,
最　　　　　　　　　　　　　　　　　　　さい　　　　　　　　　　　　　　　　　　, T .     ,
在　　　　　　　　　　　　　　　　　　　ざい　　　　　　　　　　　　　　　　　　, T .     ,
再々　　　　　　　　　　　　　　　　　　さいさい　　　　　　　　　　　　　　　　, T .     ,
雑　　　　　　　　　　　　　　　　　　　ざつ　　　　　　　　　　　　　　　　　　, T .     ,
サブ　　　　　　　　　　　　　　　　　　さぶ　　　　　　　　　　　　　　　　　　, T .     ,
猿　　　　　　　　　　　　　　　　　　　さる　　　　　　　　　　　　　　　　　　, T .     ,
私　　　　　　　　　　　　　　　　　　　し　　　　　　　　　　　　　　　　　　　, T .     ,
市　　　　　　　　　　　　　　　　　　　し　　　　　　　　　　　　　　　　　　　, T .     ,
次　　　　　　　　　　　　　　　　　　　じ　　　　　　　　　　　　　　　　　　　, T .     ,
社　　　　　　　　　　　　　　　　　　　しゃ　　　　　　　　　　　　　　　　　　, T .     ,
弱　　　　　　　　　　　　　　　　　　　じゃく　　　　　　　　　　　　　　　　　, T .     ,
主　　　　　　　　　　　　　　　　　　　しゅ　　　　　　　　　　　　　　　　　　, T .     ,
主副　　　　　　　　　　　　　　　　　　しゅふく　　　　　　　　　　　　　　　　, T .     ,
純　　　　　　　　　　　　　　　　　　　じゅん　　　　　　　　　　　　　　　　　, T .     ,
準　　　　　　　　　　　　　　　　　　　じゅん　　　　　　　　　　　　　　　　　, T .     ,
準々　　　　　　　　　　　　　　　　　　じゅんじゅん　　　　　　　　　　　　　　, T .     ,
諸　　　　　　　　　　　　　　　　　　　しょ　　　　　　　　　　　　　　　　　　, T .     ,
初　　　　　　　　　　　　　　　　　　　しょ　　　　　　　　　　　　　　　　　　, T .     ,
少　　　　　　　　　　　　　　　　　　　しょう　　　　　　　　　　　　　　　　　, T .     ,
小　　　　　　　　　　　　　　　　　　　しょう　　　　　　　　　　　　　　　　　, T .     ,
新　　　　　　　　　　　　　　　　　　　しん　　　　　　　　　　　　　　　　　　, T .     ,
心　　　　　　　　　　　　　　　　　　　しん　　　　　　　　　　　　　　　　　　, T .     ,
新副　　　　　　　　　　　　　　　　　　しんふく　　　　　　　　　　　　　　　　, T .     ,
聖　　　　　　　　　　　　　　　　　　　せい　　　　　　　　　　　　　　　　　　, T .     ,
